,date,text
78,2019-06-19 13:04:17,"RT @samjunyarts: Twitter help retweet until he it go viral and  he sees it coloured ballpen drawing of @Peter_Dinklage 

#GoT
#Gameofthrone…"
79,2019-06-19 12:59:22,"Twitter help retweet until he it go viral and  he sees it coloured ballpen drawing of @Peter_Dinklage 

#GoT
#Gameofthronesfinale
#peterdinklage
#tyrionlanister
#sackfestusadedayo
#iago Aspas
#rihanna
#akwa ibom twitter
#wizkid
Buhari https://t.co/3GcCLd7w3V"
80,2019-06-19 12:58:07,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago😂😂😂
#GameofThrones #GameOfThronesFinale…"
81,2019-06-19 12:54:13,"RT @J_PaceYourself: If #GameofThrones ends with Arya killing Daenerys I'll Dracarys all my Game of Thrones shit 

#GameOfThronesFinale"
82,2019-06-19 12:14:25,"RT @MattSchrader: I know it's totally different, but if you were disappointed by the #GameOfThronesFinale, I'd love to share that our fans…"
83,2019-06-19 12:07:34,"RT @i3_95: Me watching Jon Snow kill Daenerys : 

#GamesOfThrones #GameofThronesFinale https://t.co/R7bDkGVsoM"
84,2019-06-19 12:07:08,"D.B. Weiss David Benioff  @ADragonDemand #gameofthones #gameofthronesfinale
Nerds and Star Wars Lovers: Boycott David Benioff and D. B. Weiss - Boycott Star Wars. - Sign the Petition! https://t.co/pXQTipCVcl via @Change"
85,2019-06-19 12:06:40,"RT @AKASeKretS43: I'm sick over how Drogon reacted. 

Fuck the Starks, fuck Jon, Fuck Tryion, fuck the writers, and fuck HBO.

#GameofThron…"
86,2019-06-19 12:06:10,"RT @aringaange: Me calling HBO after Jon betrayed Daenerys

#GameOfThronesFinale https://t.co/5KSIlifA7l"
87,2019-06-19 11:46:33,GoT deleted scene #got #GameOfThronesFinale #iceking #gotdirectorscut https://t.co/pJWd86pRb6
88,2019-06-19 11:37:49,The 'Game of Thrones' prequel filming has begun and fans will recognize the location - CNN #GoTFinale #GoT #GOTfinal #GameofThrones #GameOfThronesFinale #gameofthronesprequel #prequel #gotprequel ⁦@GOT7Official⁩ ⁦@GameOfThrones⁩  https://t.co/IwnQEzUmST
89,2019-06-19 10:10:51,"RT @BasharSakka: It won’t end, a lot of loose ends, they’ll be back in 5 years, just give them a break #rememberItoldyou #GameOfThonesFinal…"
90,2019-06-19 10:05:28,RT @_osna_: That theme song gon hit different tonight                                                        #GameOfThronesFinale #GOT http…
91,2019-06-19 09:59:04,RT @Beabird85: Thanks GOT for reminding me of what life is like:  most  things - even the greatest - end unceremoniously and inconsequentia…
92,2019-06-19 09:45:01,"This @GameOfThrones scene would've shown #Cersei ""losing the baby"" and would've clued viewers in to a lot of Cersei's decisions in the final season. https://t.co/a6XA0q3D1j

#GameofThrones #GoT #GameofThronesFinale #LenaHeadey #CerseiLannister"
93,2019-06-19 09:40:52,The best thing I’ve ever read in my life! You will not regret reading this!! Game of Thrones Fan's Rewrite of Final Season Ending Goes Viral #gameofthrones #got #GameOfThronesFinale #GameofThronesSeason8 #ironthrone #king #queen # https://t.co/7FBav2tR4W
94,2019-06-19 09:30:26,"RT @PopCultureThre1: Game of Thrones 
#GameOfThronesFinale 

DM to order. https://t.co/CuZBhEOXZJ"
95,2019-06-19 09:30:23,"RT @PopCultureThre1: Game of thrones shirt. 
#GameOfThronesFinale https://t.co/JrdE0j7i4C"
96,2019-06-19 09:17:31,"Game of Thrones 
#GameOfThronesFinale 

DM to order. https://t.co/CuZBhEOXZJ"
97,2019-06-19 09:15:24,"Game of thrones shirt. 
#GameOfThronesFinale https://t.co/JrdE0j7i4C"
98,2019-06-19 08:57:25,RT @kylem300: I hope Robb Stark wins the Sword Seat Thing 🤞Final Episode #GameOfThronesFinale
99,2019-06-19 08:41:33,"dracarys knew he was a trouble.

#GameofThrones #Dracarys #DaenerysTargaryen #JonSnow #Aryastark #sansastark #GameOfThronesFinale #GoTFinale #GOTS8 https://t.co/ygSz47zd66"
100,2019-06-19 08:40:40,"RT @NairobiComedy: This was before we watched it though 😣

Show tickets: https://t.co/mYkLVYmBXX

#gameofjokes #lol #GameOfThronesFinale #g…"
101,2019-06-19 08:39:13,"a month without dany, emilia, my queen. without my fav serie. without the best serie. 《except last s:( 》im gonna love you forever. im missing you. thanks for everything❤🐲 #GameofThrones #GameOfThronesFinale #DaenerysTargaryen #JonSnow #CerseiLannister #EmiliaClarke #GOTS8 https://t.co/uN0eZVkNhO"
102,2019-06-19 08:27:11,"RT @Cutewalter_: #GameOfThronesFinale 

This guy just Perfected the Game of Thrones Characters. 😂😂😂

Which did he get the most?

https://t.…"
103,2019-06-19 08:03:45,RT @WeDoNotKneel: So this is where Game of Thrones GoT it from 😂 #GameofThrones #GameOfThronesFinale #TheLongNight #AryaStark #TheNightKing…
104,2019-06-19 07:59:14,"RT @Grizzlemain: Good fucking riddance. These writers should never be allowed to work again. 
#GameOfThronesFinale #GameOfThrones https://t…"
105,2019-06-19 07:56:32,RT @NerdFluxx: And thats the end guys. Such an amazing show! #GameofThrones #GameOfThronesFinale #GoT
106,2019-06-19 07:47:47,RT @cdoncee_collins: Do you wanna see Dani die? #GameOfThronesFinale
107,2019-06-19 06:24:30,"RT @Blue_Jay_origin: Ok lemme get this straight, Jon Snow was a Targeryen for no reason. Bran was three eye raven for no reason. Danny's en…"
108,2019-06-19 06:11:11,RT @KOlusola: Guess we should celebrate the final episode of @GameOfThrones together..... #Dracarys #youknownothingjonsnow #WinterIsComing…
109,2019-06-19 05:26:38,"Looks like HBO had a secret Inside the Episode video ready for Game of Thrones Season 8 Finale Episode 6, but chose not to air it.

#GameofThrones #GameOfThronesFinale #DavidBenioff #GoTFinale #GOTS8E6 #TheIronThrone #Appocalypse

https://t.co/A0d43Tr9Jh"
110,2019-06-19 04:14:20,"RT @NairobiComedy: This was before we watched it though 😣

Show tickets: https://t.co/mYkLVYmBXX

#gameofjokes #lol #GameOfThronesFinale #g…"
111,2019-06-19 04:09:53,RT @Graemekelly86: Tyrion just went full #lukekelly for the #GameOfThronesFinale #OnRaglanRoad #dubliners https://t.co/730NLJ5aqd
